YEAR,MONTH,DAY,HOST,COUNTOFENTRIES
2021,1,1,10.44.128.184,148
2021,1,1,10.44.128.120,4
2021,1,1,10.44.51.30,10
2021,1,1,10.44.128.136,12
2021,1,1,10.44.128.108,8
2021,1,1,10.44.128.130,5
2021,1,1,10.44.128.109,48
2021,1,1,10.44.128.125,11
2021,1,1,10.44.128.146,4
2021,1,1,10.44.128.123,8
2021,1,1,10.44.128.135,4
2021,1,1,10.44.128.133,4
2021,1,1,10.45.78.57,20
2021,1,1,10.45.78.59,16
2021,1,1,10.44.128.102,4
2021,1,1,10.44.128.124,8
2021,1,1,10.44.15.169,1040
2021,1,1,10.44.15.199,103
2021,1,1,10.44.136.190,4
2021,1,1,10.44.128.137,4
2021,1,1,10.44.136.220,8
2021,1,1,10.44.128.169,4
2021,1,1,10.45.10.94,2
2021,1,1,10.44.136.216,12
2021,1,1,10.44.128.165,17
2021,1,1,10.44.128.126,4
2021,1,1,10.44.128.114,27
2021,1,1,10.44.128.122,11
2021,1,1,10.44.128.132,120
2021,1,1,10.44.128.156,147
2021,1,1,10.44.128.145,4
2021,1,1,10.45.2.103,8
2021,1,1,10.44.134.187,11
2021,1,1,10.44.72.204,84
2021,1,1,10.44.64.95,12
2021,1,1,10.44.72.209,40
2021,1,1,10.44.72.212,74
2021,1,1,10.44.64.116,12
2021,1,1,10.44.130.193,30
2021,1,1,10.44.15.171,60
2021,1,1,10.44.15.198,31
2021,1,1,10.45.76.65,25
2021,1,1,10.44.11.231,234
2021,1,1,10.44.72.208,28
2021,1,1,10.44.72.189,40
2021,1,1,10.44.72.190,12
2021,1,1,10.44.72.216,157
2021,1,1,10.44.72.210,99
2021,1,1,10.44.72.172,24
2021,1,1,10.44.72.233,67
2021,1,1,10.44.72.187,41
2021,1,1,10.45.72.85,54
2021,1,1,10.45.72.79,140
2021,1,1,10.45.67.101,183
2021,1,1,10.45.67.123,576
2021,1,1,10.44.246.233,27
2021,1,1,10.45.72.84,16
2021,1,1,10.44.206.157,32
2021,1,1,10.44.72.161,40
2021,1,1,10.44.64.128,40
2021,1,1,10.44.134.200,8
2021,1,1,10.44.64.100,4
2021,1,1,10.44.76.115,8
2021,1,1,10.44.76.122,12
2021,1,1,10.45.83.5,273
2021,1,1,10.44.76.100,2
2021,1,1,10.44.72.174,293
2021,1,1,10.44.78.170,44
2021,1,1,10.44.70.62,110
2021,1,1,10.45.83.100,20
2021,1,1,10.45.68.52,1186
2021,1,1,10.45.68.51,68
2021,1,1,10.45.86.119,12
2021,1,1,10.45.86.92,16
2021,1,1,10.45.83.20,16
2021,1,1,10.45.83.1,4
2021,1,1,10.44.22.196,54
2021,1,1,10.45.83.88,124
2021,1,1,10.45.83.22,35
2021,1,1,10.45.83.137,39
2021,1,1,10.45.83.77,33
2021,1,1,10.45.83.170,32
2021,1,1,10.45.83.136,4
2021,1,1,10.45.83.103,4
2021,1,1,10.45.83.133,4
2021,1,1,10.45.83.79,8
2021,1,1,10.44.20.50,86
2021,1,1,10.45.83.72,4
2021,1,1,10.45.83.73,88
2021,1,1,10.45.83.0,52
2021,1,1,10.45.83.10,85
2021,1,1,10.45.78.66,32
2021,1,1,10.45.83.149,52
2021,1,1,10.45.83.138,9
2021,1,1,10.45.83.61,18
2021,1,1,10.45.83.144,24
2021,1,1,10.44.78.154,17
2021,1,1,10.45.83.24,20
2021,1,1,10.45.83.69,36
2021,1,1,10.44.24.140,64
2021,1,1,10.45.83.40,12
2021,1,1,10.45.83.42,16
2021,1,1,10.44.132.180,36
2021,1,1,10.44.132.191,8
2021,1,1,10.44.132.201,3
2021,1,1,10.45.83.110,12
2021,1,1,10.45.83.99,156
2021,1,1,10.45.83.63,72
2021,1,1,10.45.83.90,8
2021,1,1,10.45.83.41,38
2021,1,1,10.45.83.94,14
2021,1,1,10.45.16.133,16
2021,1,1,10.45.6.106,8
2021,1,1,10.45.2.205,68
2021,1,1,10.45.2.207,8
2021,1,1,10.45.2.132,4
2021,1,1,10.45.66.94,434
2021,1,1,10.45.2.44,12
2021,1,1,10.45.2.45,16
2021,1,1,10.45.86.165,14
2021,1,1,10.44.30.154,48
2021,1,1,10.44.30.149,8
2021,1,1,10.44.24.149,24
2021,1,1,10.44.30.147,16
2021,1,1,10.44.53.35,125
2021,1,1,10.44.53.39,83
2021,1,1,10.44.54.35,17
2021,1,1,10.44.30.169,18
2021,1,1,10.44.30.125,24
2021,1,1,10.44.30.132,16
2021,1,1,10.44.0.41,173
2021,1,1,10.44.22.210,202
2021,1,1,10.45.86.87,4
2021,1,1,10.45.72.104,4
2021,1,1,10.45.88.248,34
2021,1,1,10.44.212.154,6
2021,1,1,10.45.2.210,8
2021,1,1,10.45.67.121,492
2021,1,1,10.44.6.51,60
2021,1,1,10.44.22.236,28
2021,1,1,10.44.56.39,471
2021,1,1,10.44.6.63,91
2021,1,1,10.44.6.65,142
2021,1,1,10.44.6.64,24
2021,1,1,10.44.56.41,70
2021,1,1,10.44.128.158,24
2021,1,1,10.44.212.165,4
2021,1,1,10.44.0.43,8
2021,1,1,10.44.6.68,48
2021,1,1,10.44.6.61,80
2021,1,1,10.44.6.66,162
2021,1,1,10.44.72.182,13
2021,1,1,10.44.6.53,8
2021,1,1,10.45.66.135,1633
2021,1,1,10.45.83.153,4
2021,1,1,10.45.83.76,177
2021,1,1,10.45.83.167,126
2021,1,1,10.45.83.118,180
2021,1,1,10.45.83.4,136
2021,1,1,10.47.194.198,6
2021,1,1,10.45.63.24,236
2021,1,1,10.47.195.20,12
2021,1,1,10.44.20.54,24
2021,1,1,10.47.195.2,47
2021,1,1,10.44.15.244,647
2021,1,1,10.44.15.188,1889
2021,1,1,10.47.194.202,63
2021,1,1,10.44.24.134,72
2021,1,1,10.44.30.152,11
2021,1,1,10.44.204.57,14
2021,1,1,10.44.30.153,8
2021,1,1,10.44.22.123,116
2021,1,1,10.44.22.206,51
2021,1,1,10.44.212.161,4
2021,1,1,10.44.128.121,24
2021,1,1,10.44.22.239,8
2021,1,1,10.45.83.171,52
2021,1,1,10.45.83.97,12
2021,1,1,10.45.83.62,12
2021,1,1,10.45.83.51,29
2021,1,1,10.44.22.128,35
2021,1,1,10.45.83.84,30
2021,1,1,10.44.15.221,65
2021,1,1,10.44.212.188,18
2021,1,1,10.44.15.232,56
2021,1,1,10.44.15.146,48
